id,project_name,address,suburb,postcode,council_short,category_label,filter_group,stage_label,status_raw,cost,cost_confidence,electrical_estimate_low,electrical_estimate_high,opportunity_score,priority_label,builder,dwellings_new,lots_proposed,gfa_proposed,storeys,distance_km,date_lodged,date_determined,contact_window,contact_target,source_ref,council_ref,lat,lon
TS-MAIT-380801,"Dwelling house, Chisholm",8 Capertee Way Chisholm 2322,Chisholm,2322,Maitland,New residential,Residential,Complying development lodged,Under Assessment,621185.0,medium,37271,62118,53,Watch list,,,,,,23.3,2026-08-27,,Call within a month,Applicant or their builder,CDC-380801,CDC/6800662,-32.75682028,151.638626035
TS-LAKE-366181,"Dwelling house, Cooranbong",44 Ferris Street Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Complying development approved,Approved,615000.0,high,36900,61500,53,Watch list,,1,,,1,33.7,2026-06-17,2026-06-22,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366181,CDC/6782352,-33.053997476,151.453442661
TS-CESS-364400,"Dwelling house, Nulkaba",29 Austral Street Nulkaba 2325,Nulkaba,2325,Cessnock,New residential,Residential,Complying development approved,Approved,612999.0,medium,36780,61300,53,Watch list,,,,,,42.9,2026-08-04,2026-08-04,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-364400,20260421,-32.812384487,151.343533867
TS-MAIT-369710,"Secondary dwelling (2 dwellings), Lochinvar",18 Davoren Road Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,609990.0,high,36599,60999,53,Watch list,,2,,,1,40.5,2026-07-06,2026-07-13,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-369710,CDC/6778852,-32.695802929,151.448416744
TS-CESS-373356,"Dwelling house, Heddon Greta",5 Karinyup Circuit Heddon Greta 2321,Heddon Greta,2321,Cessnock,New residential,Residential,Complying development approved,Approved,605234.0,high,36314,60523,53,Watch list,,1,,,1,28.1,2026-08-06,2026-08-11,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-373356,260075,-32.817498533,151.511033229
TS-CESS-365083,"Dwelling house, North Rothbury",29 Fitzgerald Avenue North Rothbury 2335,North Rothbury,2335,Cessnock,New residential,Residential,Complying development approved,Approved,599400.0,high,35964,59940,53,Watch list,,1,,,1,47.2,2026-06-11,2026-07-03,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-365083,CDC/6781692,-32.683832433,151.368201905
TS-MAIT-362874,"Secondary dwelling (2 dwellings), Farley","28 Emanuel Drive, Farley",Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,587150.0,high,35229,58715,53,Watch list,,2,,,1,34.2,2026-06-01,2026-06-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-362874,CDC/6778542,-32.726149629,151.506046365
TS-LAKE-372728,"Dwelling house, Cooranbong",3 Ball Street Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Complying development approved,Approved,587115.0,high,35227,58712,53,Watch list,,1,,,,32.8,2026-08-14,2026-08-26,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-372728,26-0317,-33.058405159,151.465885509
TS-MAIT-364416,"Dual occupancy (attached) (2 dwellings), Farley",2 Treeton Close Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,580000.0,high,34800,58000,53,Watch list,,2,,,1,33.2,2026-06-09,2026-06-15,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-364416,SWC261455,-32.732616354,151.512809136
TS-MAIT-366416,"Secondary dwelling (2 dwellings), Gillieston Heights",2 Nankeen Avenue Gillieston Heights 2321,Gillieston Heights,2321,Maitland,New residential,Residential,Complying development approved,Approved,577000.0,high,34620,57700,53,Watch list,,2,,,1,30.5,2026-06-18,2026-06-18,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366416,Paul Koen,-32.754755384,151.528363333
TS-CESS-367026,"Dwelling house, Buchanan",223 Averys Lane Buchanan 2323,Buchanan,2323,Cessnock,New residential,Residential,Complying development approved,Approved,575529.0,high,34532,57553,53,Watch list,,1,,,1,27.7,2026-06-23,2026-07-23,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-367026,8073655,-32.821649395,151.513219364
TS-CESS-1027178,"Dwelling house, North Rothbury",39 Morningstar Crescent North Rothbury 2335,North Rothbury,2335,Cessnock,New residential,Residential,Construction certificate lodged,Under Assessment,575000.0,high,34500,57500,53,Watch list,RT BUILDING CO PTY LTD,0,,307.0,2,50.2,2026-09-10,,Call within 2 weeks,RT BUILDING CO PTY LTD — site manager or contracts administrator,CFT-1027178,,-32.669760869,151.341008301
TS-CESS-1029799,"Dwelling house, North Rothbury",6 Caphilly Parkway North Rothbury 2335,North Rothbury,2335,Cessnock,New residential,Residential,Construction certificate lodged,Under Assessment,575000.0,high,34500,57500,53,Watch list,RT BUILDING CO PTY LTD,0,,261.0,2,50.2,2026-09-16,,Call within 2 weeks,RT BUILDING CO PTY LTD — site manager or contracts administrator,CFT-1029799,,-32.670911739,151.3410281
TS-MAIT-363162,"Secondary dwelling (2 dwellings), Gillieston Heights",100 Saddlers Drive Gillieston Heights 2321,Gillieston Heights,2321,Maitland,New residential,Residential,Complying development approved,Approved,575000.0,high,34500,57500,53,Watch list,,2,,,1,29.5,2026-06-02,2026-06-23,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363162,CDC/6778062,-32.767215819,151.530535708
TS-MAIT-370500,"Secondary dwelling (2 dwellings), Lochinvar","25 Linden Street, Lochinvar",Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,575000.0,high,34500,57500,53,Watch list,,2,,,1,38.7,2026-07-07,2026-07-23,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-370500,CDC/6786022,-32.708508151,151.46012201
TS-MAIT-380225,"Secondary dwelling (2 dwellings), Lochinvar",2 Linaria Way Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,575000.0,high,34500,57500,53,Watch list,,2,,,1,39.0,2026-08-25,2026-09-08,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-380225,CDC/6798472,-32.706568248,151.458987428
TS-CESS-379124,"Dwelling house, Heddon Greta",181 Averys Lane Heddon Greta 2321,Heddon Greta,2321,Cessnock,New residential,Residential,Complying development approved,Approved,574275.0,high,34456,57428,53,Watch list,,1,,,1,28.0,2026-08-19,2026-09-09,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-379124,CDC/6797332,-32.817625071,151.512956272
TS-MAIT-373708,"Secondary dwelling (2 dwellings), Farley",7 Novohal Street Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,573200.0,high,34392,57320,53,Watch list,,2,,,1,34.0,2026-07-23,2026-07-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-373708,CDC/6763842,-32.728030295,151.506426531
TS-CESS-340610,"Secondary dwelling, Bellbird",27 Caudalie Street Bellbird 2325,Bellbird,2325,Cessnock,New residential,Residential,Complying development approved,Approved,571830.0,high,34310,57183,53,Watch list,,1,,,1,44.0,2026-07-28,2026-07-28,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-340610,CDC/5728192,-32.847289907,151.320460127
TS-LAKE-379976,"Dwelling house, Dora Creek",103 Coorumbung Road Dora Creek 2264,Dora Creek,2264,Lake Macquarie,New residential,Residential,Complying development approved,Approved,569352.0,high,34161,56935,53,Watch list,,1,,,2,31.7,2026-08-24,2026-09-11,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-379976,CDC/6795552,-33.077165642,151.49160905
TS-MAIT-380230,"Dwelling house, Chisholm",10 Capertee Way Chisholm 2322,Chisholm,2322,Maitland,New residential,Residential,Complying development lodged,Under Assessment,568303.0,medium,34098,56830,53,Watch list,,,,,,23.3,2026-08-25,,Call within a month,Applicant or their builder,CDC-380230,CDC/6800112,-32.7568057,151.63845572
TS-MAIT-363046,"Dwelling house, Lochinvar",4 Hewitt Road Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,567150.0,high,34029,56715,53,Watch list,,1,,,1,40.7,2026-06-01,2026-06-10,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363046,CDC/6779402,-32.694454043,151.446407843
TS-LAKE-374781,"Dwelling house, Wyee",1 Mcglashan Road Wyee 2259,Wyee,2259,Lake Macquarie,New residential,Residential,Complying development approved,Approved,561806.0,high,33708,56181,53,Watch list,,1,,,2,40.3,2026-07-29,2026-08-20,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-374781,8073999,-33.188124226,151.479484235
TS-LAKE-381392,"Dwelling house, Warners Bay",33 Wellings Street Warners Bay 2282,Warners Bay,2282,Lake Macquarie,New residential,Residential,Complying development lodged,Under Assessment,557019.0,medium,33421,55702,53,Watch list,,,,,,12.7,2026-08-31,,Call within a month,Applicant or their builder,CDC-381392,CDC/6801242,-32.971925872,151.655335679
TS-LAKE-372952,"Dwelling house, Wangi Wangi",1 Dobell Drive Wangi Wangi 2267,Wangi Wangi,2267,Lake Macquarie,New residential,Residential,Complying development lodged,Under Assessment,554778.0,medium,33287,55478,53,Watch list,,,,,,24.5,2026-07-31,,Call within a month,Applicant or their builder,CDC-372952,26-0323,-33.068145124,151.578369171
TS-MAIT-365309,"Secondary dwelling (2 dwellings), Farley",16 Owlpen Lane Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,551000.0,high,33060,55100,53,Watch list,,2,,,1,33.2,2026-06-12,2026-06-17,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-365309,CDC/6778722,-32.729890914,151.516731382
TS-MAIT-363588,"Secondary dwelling (2 dwellings), Lochinvar",8 Crebert Street Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,550000.0,high,33000,55000,53,Watch list,,2,,,1,40.3,2026-06-10,2026-09-17,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363588,CC/2439292-A,-32.697591889,151.449653629
TS-CESS-364026,"Dwelling house, North Rothbury",2 Talbot Parkway North Rothbury 2335,North Rothbury,2335,Cessnock,New residential,Residential,Complying development approved,Approved,550000.0,high,33000,55000,53,Watch list,,1,,,,47.5,2026-08-03,2026-08-03,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-364026,P-2026-0104,-32.684039514,151.3651399
TS-LAKE-363224,"Dwelling house, Cooranbong",6 Asprey Street Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Complying development approved,Approved,548640.0,high,32918,54864,53,Watch list,,1,,,1,32.9,2026-06-05,2026-06-11,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363224,8071108,-33.056890292,151.464118716
TS-MAIT-373524,"Dwelling house, Chisholm",9 Plumegrass Avenue Chisholm 2322,Chisholm,2322,Maitland,New residential,Residential,Complying development lodged,Under Assessment,548382.0,medium,32903,54838,53,Watch list,,,,,,23.1,2026-07-22,,Call within a month,Applicant or their builder,CDC-373524,CDC/6792172,-32.758171933,151.638986672
TS-LAKE-369812,"Dwelling house, Morisset Park",164 Trinity Point Drive Morisset Park 2264,Morisset Park,2264,Lake Macquarie,New residential,Residential,Complying development approved,Approved,541033.0,high,32462,54103,53,Watch list,,1,,,2,31.6,2026-07-03,2026-07-06,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-369812,8072400-A,-33.12585339,151.538597213
TS-MAIT-362683,"Dwelling house, Lochinvar",8 Holstein Road Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,532000.0,high,31920,53200,53,Watch list,,1,,,1,38.6,2026-07-07,2026-07-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-362683,260039,-32.704611555,151.466530529
TS-LAKE-383607,"Dwelling house, Lake Macquarie LGA","45 Vicat Street, Boolaroo, (Lot 6054)",Address not supplied,,Lake Macquarie,New residential,Residential,Complying development lodged,Under Assessment,531782.0,medium,31907,53178,53,Watch list,,,,,,14.5,2026-09-09,,Call within a month,Applicant or their builder,CDC-383607,CDC/6803752,-32.949096139,151.628220273
TS-CESS-355870,"Dwelling house, Abermain",38 Lilly Place Abermain 2326,Abermain,2326,Cessnock,New residential,Residential,Complying development approved,Approved,530067.0,medium,31804,53007,53,Watch list,,,,,,35.5,2026-05-28,2026-06-01,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-355870,20260253,-32.800330798,151.43371414
TS-MAIT-375700,"Dwelling house, Maitland LGA",17 Berkshire Road Gillieston Heights,Address not supplied,,Maitland,New residential,Residential,Complying development approved,Approved,528285.0,high,31697,52828,53,Watch list,,1,,,2,30.2,2026-08-05,2026-09-16,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-375700,8074062,-32.752977683,151.535285082
TS-LAKE-373286,"Dwelling house, Cooranbong",17 Quinlan Circuit Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Complying development approved,Approved,527087.0,high,31625,52709,53,Watch list,,1,,,1,33.3,2026-07-21,2026-08-19,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-373286,CDC/6781742,-33.055729103,151.458088466
TS-PORT-364794,"Dwelling house, Karuah",16 Citrus Drive Karuah 2324,Karuah,2324,Port Stephens,New residential,Residential,Complying development approved,Approved,522517.0,high,31351,52252,53,Watch list,,1,,,1,34.3,2026-06-12,2026-08-04,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-364794,8053578,-32.658838375,151.960701622
TS-CESS-374068,"Dwelling house, Heddon Greta",174 Averys Lane Heddon Greta 2321,Heddon Greta,2321,Cessnock,New residential,Residential,Complying development approved,Approved,520492.0,high,31230,52049,53,Watch list,,1,,,2,27.9,2026-07-27,2026-09-14,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-374068,8073949,-32.817220503,151.513657575
TS-MAIT-372613,"Secondary dwelling (2 dwellings), Gillieston Heights",7 Ryans Road Gillieston Heights 2321,Gillieston Heights,2321,Maitland,New residential,Residential,Complying development approved,Approved,518500.0,high,31110,51850,53,Watch list,,2,,,1,30.2,2026-08-11,2026-08-11,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-372613,CDC/6790792,-32.759382284,151.528560953
TS-MAIT-372645,"Secondary dwelling (2 dwellings), Farley",5 Novohal Street Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,517026.0,high,31022,51703,53,Watch list,,2,,,1,34.0,2026-07-17,2026-07-21,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-372645,CDC/6791112,-32.728009924,151.506595915
TS-MAIT-367483,"Secondary dwelling (2 dwellings), Farley",8 Novohal Street Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,517026.0,high,31022,51703,53,Watch list,,2,,,1,34.0,2026-06-23,2026-06-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-367483,CDC/6783562,-32.727501772,151.506625895
TS-MAIT-376063,"Dwelling house, Maitland LGA",15 Longwool Road Lochinvar 2321,Address not supplied,,Maitland,New residential,Residential,Complying development approved,Approved,516000.0,medium,30960,51600,53,Watch list,,,,,,38.6,2026-09-09,2026-09-09,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-376063,20260698,-32.706332374,151.464770764
TS-MAIT-361910,"Secondary dwelling (2 dwellings), Maitland LGA","9 Novohal Street, Farley",Address not supplied,,Maitland,New residential,Residential,Complying development approved,Approved,515686.0,high,30941,51569,53,Watch list,,2,,,1,33.6,2026-05-26,2026-06-03,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-361910,CDC/6775552,-32.730756496,151.508933487
TS-MAIT-377173,"Secondary dwelling (2 dwellings), Farley",1 Novohal Street Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,515686.0,high,30941,51569,53,Watch list,,2,,,1,34.0,2026-08-10,2026-08-11,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-377173,CDC/6779722-A,-32.727985033,151.507013923
TS-MAIT-366414,"Dwelling house, Lochinvar","23 Leumany Street, Lochinvar",Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,515000.0,high,30900,51500,53,Watch list,,1,,,1,38.8,2026-06-18,2026-08-18,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366414,CDC/6783242,-32.710069762,151.458026638
TS-MAIT-365647,"Dwelling house (2 dwellings), Maitland LGA","13 Leumany Street, Lochinvar",Address not supplied,,Maitland,New residential,Residential,Complying development approved,Approved,515000.0,high,30900,51500,53,Watch list,,2,,,1,38.6,2026-06-15,2026-08-27,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-365647,CDC/6781382,-32.704254725,151.465954146
TS-MAIT-366545,"Dwelling house, Lochinvar","7 Leumany Street, Lochinvar",Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,515000.0,high,30900,51500,53,Watch list,,1,,,1,38.7,2026-06-18,2026-08-27,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366545,CDC/6783402,-32.710240708,151.459312045
TS-MAIT-366363,"Dwelling house, Lochinvar","3 Leumany Street, Lochinvar",Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,515000.0,high,30900,51500,53,Watch list,,1,,,1,38.6,2026-06-18,2026-09-04,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366363,CDC/6783112,-32.710282736,151.459628138
TS-MAIT-309076,"Secondary dwelling (2 dwellings), Gillieston Heights",13 Assay Street Gillieston Heights 2321,Gillieston Heights,2321,Maitland,New residential,Residential,Complying development approved,Approved,514462.0,high,30868,51446,53,Watch list,,2,,,1,30.3,2026-08-10,2026-08-10,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-309076,CDC/5703032,-32.762232488,151.524392525
TS-MAIT-366489,"Dwelling house, Lochinvar",11 Stables Place Lochinvar 2321,Lochinvar,2321,Maitland,New residential,Residential,Complying development approved,Approved,513162.0,high,30790,51316,53,Watch list,,1,,,2,38.4,2026-06-19,2026-07-15,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366489,8073628,-32.706790902,151.466674672
TS-MAIT-365989,"Secondary dwelling (2 dwellings), Farley","17 Bartholomew Circuit, Farley",Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,510600.0,high,30636,51060,53,Watch list,,2,,,1,34.1,2026-06-16,2026-06-19,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-365989,CDC/6782172,-32.726076633,151.506635223
TS-LAKE-363942,"Dwelling house, Cooranbong",42 Ferris Street Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Complying development approved,Approved,506775.0,high,30406,50678,53,Watch list,,1,,,1,33.6,2026-06-04,2026-06-16,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363942,CDC/6780432,-33.054072685,151.453591356
TS-MAIT-371182,"Secondary dwelling (2 dwellings), Farley",5 Bartholomew Circuit Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,506634.0,high,30398,50663,53,Watch list,,2,,,1,34.1,2026-07-10,2026-07-17,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-371182,CDC/6786972,-32.726520794,151.507044762
TS-LAKE-373310,"Dwelling house, Dora Creek",33 Bright Circuit Dora Creek 2264,Dora Creek,2264,Lake Macquarie,New residential,Residential,Complying development approved,Approved,506590.0,high,30395,50659,53,Watch list,,1,,,2,31.5,2026-07-21,2026-07-27,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-373310,CDC/6791912,-33.077194144,151.494650289
TS-LAKE-365010,"Dwelling house, Wyee","59 Kearney Way, Wyee",Wyee,2259,Lake Macquarie,New residential,Residential,Complying development approved,Approved,505076.0,high,30305,50508,53,Watch list,,1,,,1,40.2,2026-06-11,2026-07-01,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-365010,CDC/6780822,-33.187602962,151.480768292
TS-CESS-363818,"Dwelling house, Rothbury",8 Aria Entrance Rothbury 2320,Rothbury,2320,Cessnock,New residential,Residential,Complying development approved,Approved,503404.0,medium,30204,50340,53,Watch list,,,,,,48.6,2026-06-04,2026-07-27,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-363818,20260487,-32.700525351,151.337490312
TS-CESS-366507,"Dwelling house, Bellbird",4 Caudalie Street Bellbird 2325,Bellbird,2325,Cessnock,New residential,Residential,Complying development approved,Approved,503170.0,high,30190,50317,53,Watch list,,1,,,2,43.9,2026-06-22,2026-08-06,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366507,8073641,-32.849034485,151.321110255
TS-CESS-379957,"Dwelling house, Heddon Greta",26 Moonah Street Heddon Greta 2321,Heddon Greta,2321,Cessnock,New residential,Residential,Complying development approved,Approved,502310.0,high,30139,50231,53,Watch list,,1,,,1,28.0,2026-08-24,2026-09-09,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-379957,CDC/6799302,-32.817096396,151.512669932
TS-CESS-360404,"Dwelling house, Rothbury",6 Aria Entrance Rothbury 2320,Rothbury,2320,Cessnock,New residential,Residential,Complying development approved,Approved,500683.0,high,30041,50068,53,Watch list,,1,,,1,48.6,2026-06-05,2026-06-17,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-360404,20260414,-32.700649189,151.337799504
TS-MAIT-362420,"Secondary dwelling (2 dwellings), Maitland LGA","12 Gobetti Street, Farley",Address not supplied,,Maitland,New residential,Residential,Complying development approved,Approved,500600.0,high,30036,50060,53,Watch list,,2,,,1,33.2,2026-05-28,2026-05-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-362420,CDC/6774722,-32.731163914,151.515036508
TS-MAIT-367001,"Secondary dwelling (2 dwellings), Farley",7 Bartholomew Circuit Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,500600.0,high,30036,50060,53,Watch list,,2,,,1,34.1,2026-06-22,2026-06-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-367001,CDC/6782442,-32.726378503,151.50707295
TS-MAIT-368669,"Secondary dwelling (2 dwellings), Farley",9 Comet Close Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,500600.0,high,30036,50060,53,Watch list,,2,,,1,34.0,2026-06-29,2026-07-01,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-368669,CDC/6784352,-32.727869487,151.507556321
TS-MAIT-369824,"Secondary dwelling (2 dwellings), Farley",29 Emanuel Drive Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,500600.0,high,30036,50060,53,Watch list,,2,,,1,34.1,2026-07-03,2026-07-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-369824,CDC/6785592,-32.727185305,151.50669103
TS-MAIT-374474,"Secondary dwelling (2 dwellings), Farley",3 Bartholomew Circuit Farley 2320,Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,500600.0,high,30036,50060,53,Watch list,,2,,,1,34.1,2026-07-28,2026-08-03,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-374474,CDC/6792192,-32.726663085,151.507016564
TS-MAIT-366444,"Secondary dwelling (2 dwellings), Farley","9 Bartholemew Circuit, Farley",Farley,2320,Maitland,New residential,Residential,Complying development approved,Approved,500100.0,high,30006,50010,53,Watch list,,2,,,1,34.1,2026-06-18,2026-06-22,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366444,CDC/6782472,-32.726236212,151.507101144
TS-CESS-367186,"Dwelling house, North Rothbury",28 Solomon Street North Rothbury 2335,North Rothbury,2335,Cessnock,New residential,Residential,Complying development approved,Approved,500000.0,high,30000,50000,53,Watch list,,1,,,1,47.3,2026-08-07,2026-08-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-367186,P-2026-0100,-32.683524088,151.368087175
TS-LAKE-975939,"Dwelling house, Cooranbong",24 Cessna Avenue Cooranbong 2265,Cooranbong,2265,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,497980.0,high,29879,49798,53,Watch list,TEMPO LIVING PTY LTD,0,,237.0,1,33.4,2026-06-18,2026-07-27,Call this week,TEMPO LIVING PTY LTD — site manager or contracts administrator,CFT-975939,,-33.057525115,151.458433929
TS-LAKE-983400,"Dwelling house, Wyee",4 Jennett Street Wyee 2259,Wyee,2259,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,483315.0,high,28999,48332,53,Watch list,MOJO HOMES PTY LIMITED,1,,243.0,1,40.4,2026-07-01,2026-07-14,Call this week,MOJO HOMES PTY LIMITED — site manager or contracts administrator,CFT-983400,,-33.187539213,151.478690664
TS-PORT-987684,"Dwelling house, Mallabula",1C Fairlands Road Mallabula 2319,Mallabula,2319,Port Stephens,New residential,Residential,Construction certificate issued,Determined,472278.0,high,28337,47228,53,Watch list,SMITH BROTHERS HOMES PTY LTD,1,,281.0,0,30.5,2026-07-15,2026-09-16,Call this week,SMITH BROTHERS HOMES PTY LTD — site manager or contracts administrator,CFT-987684,,-32.7329415,152.010658855
TS-PORT-994088,"Dwelling house, Fingal Bay",32 Boulder Bay Road Fingal Bay 2315,Fingal Bay,2315,Port Stephens,New residential,Residential,Construction certificate issued,Determined,470000.0,medium,28200,47000,53,Watch list,COOLWATER CONSTRUCTIONS PTY LTD,0,,211.0,2,41.1,2026-07-20,2026-08-18,Call this week,COOLWATER CONSTRUCTIONS PTY LTD — site manager or contracts administrator,CFT-994088,,-32.75034183,152.167832562
TS-MAIT-961623,"Dwelling house, Maitland LGA",33 Kensington Road Bolwarra,Address not supplied,,Maitland,New residential,Residential,Construction certificate issued,Determined,469400.0,high,28164,46940,53,Watch list,VALLEY HOMES,1,1,214.05,1,31.5,2026-05-25,2026-06-03,Call this week,VALLEY HOMES — site manager or contracts administrator,CFT-961623,,-32.711011271,151.566103681
TS-LAKE-1009610,"Dwelling house, Wyee",9 Jennett Street Wyee 2259,Wyee,2259,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,464800.0,high,27888,46480,53,Watch list,ALLWORTHG HOMES MASTER BUILT,0,,265.0,1,40.3,2026-08-13,2026-09-03,Call this week,ALLWORTHG HOMES MASTER BUILT — site manager or contracts administrator,CFT-1009610,,-33.187014333,151.479155082
TS-MAIT-1000920,"2-lot subdivision, Farley",23 Loane Circuit Farley 2320,Farley,2320,Maitland,New residential,Residential,Construction certificate issued,Determined,459400.0,high,27564,45940,53,Watch list,VALLEY HOMES,1,2,0.0,1,33.9,2026-07-31,2026-08-14,Call this week,VALLEY HOMES — site manager or contracts administrator,CFT-1000920,,-32.728413531,151.507908518
TS-LAKE-977852,"Dwelling house, Wyee",28 Jennett Street Wyee 2259,Wyee,2259,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,458440.0,medium,27506,45844,53,Watch list,THE DOMAINE PROPERTY GROUP PTY LTD,0,,0.0,0,40.2,2026-06-23,2026-07-09,Call this week,THE DOMAINE PROPERTY GROUP PTY LTD — site manager or contracts administrator,CFT-977852,,-33.187318068,151.480549834
TS-LAKE-993127,"Dwelling house, Wyee",102 Soreina Drive Wyee 2259,Wyee,2259,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,456955.0,high,27417,45696,53,Watch list,FIRSTYLE HOMES PTY LIMITED,1,,171.0,1,40.4,2026-07-16,2026-07-24,Call this week,FIRSTYLE HOMES PTY LIMITED — site manager or contracts administrator,CFT-993127,,-33.187068598,151.477794458
